湖南,#genre#
凤凰中文, http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw2#http://php.jdshipin.com/TVOD/iptv.php?id=fhzw2#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw#http://php.jdshipin.com/TVOD/iptv.php?id=fhzw#http://dns.yiandrive.com:15907/phenix/fhzw
凤凰资讯,http://122.117.71.103:8573/http/61.222.53.250:8078/hls/20/80/phoenixif.m3u8#http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx2#http://php.jdshipin.com/TVOD/iptv.php?id=fhzx2#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzx#http://php.jdshipin.com/TVOD/iptv.php?id=fhzx#http://dns.yiandrive.com:15907/phenix/fhzx
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk2#http://php.jdshipin.com/TVOD/iptv.php?id=fhhk2#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk#http://php.jdshipin.com/TVOD/iptv.php?id=fhhk#http://dns.yiandrive.com:15907/phenix/fhhk  
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
澳门莲花,http://php.jdshipin.com:8880/amlh.php
凤凰中文,http://cdn.163189.xyz/live/fhzw/stream.m3u8
CHC动作电影,https://www.freetv.top/migu/644368714.m3u8?migutoken=4e0c0edd154fdc5429333970e93eef61bbb9613df62cc38e640e8b382b0644ba785fef48c5bd70ee95b0e860bb86f4741cafe5109896ca266fba0151230284f5d76e4d9a42521a66e9520e721d
CHC家庭影院,https://www.freetv.top/migu/644368373.m3u8?migutoken=37a5212d838b3bfa78e8add96d4bfeb2b51990ece0e0227680ce03f270bc71c0ec83097953fc57bd2eefd25de7399615e5314799c22a330a4e6084c162d6a161b9d4707122054934a70bac790a
CHC影迷电影,https://stream.freetv.fun/dea8296a1a6cc0043a1ea3d696f685c6a2d2844028582f6dd8fbd961286c451f.ctv
湖南卫视,http://111.8.224.6:9999/tsfile/live/1009_1.m3u8#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000035/main.m3u8?IASHttpSessionId=OTT#http://39.134.136.161:6610/000000001000/5000000010000030452/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000010000030452#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8#http://111.8.224.6:9999/tsfile/live/1009_1.m3u8
湖南经视,http://111.8.224.6:9999/tsfile/live/1010_1.m3u8#http://[2409:8087:5011:1020::1f]/180000001001/00000001000000000002000000027983/main.m3u8?IASHttpSessionId=OTT#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNJSMPP360.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hnjs#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnjs 
湖南都市,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000041/main.m3u8?IASHttpSessionId=OTT#http://111.8.224.6:9999/tsfile/live/1011_1.m3u8#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNDSMPP360.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hnds#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnds
湖南爱晚,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000044/main.m3u8?IASHttpSessionId=OTT#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNGGMPP360.m3u8#http://111.8.224.6:9999/tsfile/live/1014_1.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hngg#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngg  
湖南国际,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000045/main.m3u8?IASHttpSessionId=OTT#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNGJMPP360.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hngj#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngj 
湖南娱乐,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000040/main.m3u8?IASHttpSessionId=OTT#http://111.8.224.6:9999/tsfile/live/1016_1.m3u8#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNYLMPP360.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hnyl#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl
湖南电影,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000038/main.m3u8?IASHttpSessionId=OTT#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNDYMPP360.m3u8#http://111.8.224.6:9999/tsfile/live/1012_1.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hndy#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy  
湖南电视剧,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000037/main.m3u8?IASHttpSessionId=OTT#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNDSJMPP360.m3u8#http://111.8.224.6:9999/tsfile/live/1013_1.m3u8#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/HNDSJMPP360.m3u8#http://php.jdshipin.com:8880/iptv.php?id=hndsj#http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj
长沙政法,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000049/main.m3u8?IASHttpSessionId=OTT#http://phonetx.qing.mgtv.com/nn_live/nn_x64/8.8&/CSZFMPP360.m3u8 
长沙新闻综合,http://111.8.224.6:9999/tsfile/live/1077_1.m3u8
湖南教育台,http://[2409:8087:5011:1020::1f]/180000001001/00000001000000001001000000000031/main.m3u8?IASHttpSessionId=OTT#http://111.8.224.6:9999/tsfile/live/1015_1.m3u8



NewTV,#genre#
古装剧场,http://39.134.65.73:80/wh7f454c46tw1189323424_1519965141/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8#http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8#http://39.134.136.161:6610/000000001000/6859053933687922163/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=6859053933687922163#http://39.134.136.161:6610/000000001000/2000000003000000024/index.m3u8?livemode=1&stbId=10&channel-id=hnbblive&Contentid=2000000003000000024
精品电影,http://183.207.249.14/PLTV/3/224/3221225567/index.m3u8
超级电影,http://183.251.61.207/PLTV/88888888/224/3221225804/index.m3u8
东北热剧,http://39.135.135.63:80/wh7f454c46tw4101634303_500397411/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8?icpid=88888888&RTS=1579495504&from=1&hms_devid=699
中国功夫,http://39.134.65.84:80/wh7f454c46tw4099921499_1449463994/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=130
健康有约,http://39.134.65.66:80/wh7f454c46tw4099947701_1524357953/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225673/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=126
军旅剧场,http://39.134.65.76:80/wh7f454c46tw4099970598_791371274/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225676/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=131
农业致富,http://39.134.65.76:80/wh7f454c46tw4100740995_1459912607/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225683/index.m3u8?icpid=88888888&RTS=1579495503&from=1&hms_devid=131
动作电影,http://39.134.65.65:80/wh7f454c46tw4100091672_-1742694192/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8?icpid=88888888&RTS=1579495503&from=1&hms_devid=125
动画王国,http://39.134.65.8:80/wh7f454c46tw4100675761_-1257941391/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225662/index.m3u8?icpid=88888888&RTS=1579495503&from=1&hms_devid=14
古装剧场,http://39.134.65.73:80/wh7f454c46tw4099828991_-818619128/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=132
家庭剧场,http://39.134.65.88:80/wh7f454c46tw4099839588_-1977358562/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225677/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=134
惊悚悬疑,http://39.134.65.88:80/wh7f454c46tw4099662247_-1704541973/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=134
明星大片,http://39.134.65.66:80/wh7f454c46tw4099617955_715127558/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225664/index.m3u8?icpid=88888888&RTS=1579495502&from=1&hms_devid=126
海外剧场,http://39.134.65.76:80/wh7f454c46tw4100265315_442528548/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225671/index.m3u8?icpid=88888888&RTS=1579495503&from=1&hms_devid=131
潮妈辣婆,http://39.134.65.62:80/wh7f454c46tw4100220351_1336186143/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8?icpid=88888888&RTS=1579495503&from=1&hms_devid=136
