香 港 台,#genre# 
凤凰中文,http://kxrj.site:8081/8647/fh.php?id=fhzw
凤凰资讯,http://kxrj.site:8081/8647/fh.php?id=fhzx 
凤凰香港,http://kxrj.site:8081/8647/fh.php?id=fhhk 
凤凰资讯,http://50.7.234.10:8278/phoenixinfo_hd/playlist.m3u8?tid=MC1C1591244615912446&ct=19225&tsum=a4fd6441d252c98ea603b13ef749a84e 
凤凰中文,http://50.7.234.10:8278/phoenixtv_hd/playlist.m3u8?tid=MFBF2713938527139385&ct=19225&tsum=1c8ca0899277714ab83db57245220068 
凤凰香港,http://50.7.234.10:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed 
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8 
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8 
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8 
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw 
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx 
TVB翡翠,http://cdn9.1689.us.kg/smt1.1.php?id=jade_twn 
TVB星河,http://cdn9.1689.us.kg/smt1.1.php?id=Xinhe 
凤凰中文,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pcc72.m3u8 
凤凰资讯,http://203.205.220.174:80/qctv.fengshows.cn/live/0701pin72.m3u8 
凤凰香港,http://203.205.220.174:80/qctv.fengshows.cn/live/0701phk72.m3u8 
凤凰中文,https://stream1.freetv.fun/16bc0b847b4c0a5a1a8645fc01576a0a28d5d8667bad711c48e5d80d12d2d329.ctv 
凤凰资讯,https://stream1.freetv.fun/2a72335a63dd0749c5a32d1bf1b0c001a81a26cc81d7e94534791d36f2c87d7d.ctv 
星影台http://205.185.123.236:8899/1/now/stream.m3u8 
凤凰卫视,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw 
凤凰资讯,http://php.jdshipin.com/TVOD/iptv.php?id=fhzx 
凤凰香港备,http://php.jdshipin.com/TVOD/iptv.php?id=fhhk 
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8 
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0 
Now爆谷,https://www.mytvsuper.xyz/1/baogutai/stream.m3u8 
Now爆谷,http://205.185.123.236:8899/1/baogutai/stream.m3u8 
Now星影,https://www.mytvsuper.xyz/1/now/stream.m3u8 
Now星影,http://205.185.123.236:8899/1/now/stream.m3u8 
美亚电影频粤,http://php.jdshipin.com:8880/TVOD/iptv.php?id=meiya 
动作电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcdzdy 
家庭影院,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcjtyy 
影迷电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=chcymdy 
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8 
凤凰中文,http://aktv.top/AKTV/live/aktv/null-3/AKTV.m3u8 
凤凰资讯,http://aktv.top/AKTV/live/aktv/null-4/AKTV.m3u8 
凤凰香港,http://aktv.top/AKTV/live/aktv/null-5/AKTV.m3u8 
无线新闻台,http://aktv.top/AKTV/live/aktv/null-1/AKTV.m3u8 
美亚电影台(HK),http://aktv.top/AKTV/live/aktv/hk-1/AKTV.m3u8 
千禧经典台,http://aktv.top/AKTV/live/aktv/null-15/AKTV.m3u8 
娱乐新闻台(HK),http://aktv.top/AKTV/live/aktv/hk/AKTV.m3u8 
翡翠剧集台(北美),http://aktv.top/AKTV/live/aktv/null-18/AKTV.m3u8 
翡翠台,http://aktv.top/AKTV/live/aktv/null/AKTV.m3u8 
翡翠综合台(北美),http://aktv.top/AKTV/live/aktv/null-17/AKTV.m3u8 
黄金翡翠台,http://aktv.top/AKTV/live/aktv/null-21/AKTV.m3u8 
TVBS新闻台,http://47.239.239.192/4gtv/litv.php?id=4gtv-4gtv072 
中天新闻,http://47.239.239.192/4gtv/litv.php?id=4gtv-4gtv009
